Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","138","Mexico","5419","Yield","406","Garlic","2018","2018","hg/ha","128875","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","406","Garlic","2018","2018","tonnes","94692","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","720","Ginger","2018","2018","ha","391","","Official data"
"QC","Crops","138","Mexico","5419","Yield","720","Ginger","2018","2018","hg/ha","100328","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","720","Ginger","2018","2018","tonnes","3923","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","507","Grapefruit (inc. pomelos)","2018","2018","ha","18823","","Official data"
"QC","Crops","138","Mexico","5419","Yield","507","Grapefruit (inc. pomelos)","2018","2018","hg/ha","244171","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","507","Grapefruit (inc. pomelos)","2018","2018","tonnes","459610","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","560","Grapes","2018","2018","ha","30760","","Official data"
"QC","Crops","138","Mexico","5419","Yield","560","Grapes","2018","2018","hg/ha","140006","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","560","Grapes","2018","2018","tonnes","430658","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","242","Groundnuts, with shell","2018","2018","ha","52046","","Official data"
"QC","Crops","138","Mexico","5419","Yield","242","Groundnuts, with shell","2018","2018","hg/ha","17506","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","242","Groundnuts, with shell","2018","2018","tonnes","91109","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","277","Jojoba seed","2018","2018","ha","301","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","277","Jojoba seed","2018","2018","hg/ha","5074","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","277","Jojoba seed","2018","2018","tonnes","153","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","407","Leeks, other alliaceous vegetables","2018","2018","ha","642","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","407","Leeks, other alliaceous vegetables","2018","2018","hg/ha","167224","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","407","Leeks, other alliaceous vegetables","2018","2018","tonnes","10728","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","497","Lemons and limes","2018","2018","ha","175826","","Official data"
